Month,Rate
Jul-00,5.88
Aug-00,6.27
Sep-00,6.31
Oct-00,6.23
Nov-00,6.38
Dec-00,6.21
Jan-01,5.89
Feb-01,4.99
Mar-01,4.85
Apr-01,4.30
May-01,3.95
Jun-01,3.63
Jul-01,3.65
Aug-01,3.54
Sep-01,3.37
Oct-01,2.40
Nov-01,2.05
Dec-01,1.78
Jan-02,1.74
Feb-02,1.76
Mar-02,1.79
Apr-02,1.79
May-02,1.77
Jun-02,1.74
Jul-02,1.70
Aug-02,1.71
Sep-02,1.69
Oct-02,1.57
Nov-02,1.44
Dec-02,1.22
Jan-03,1.22
Feb-03,1.18
Mar-03,1.20
Apr-03,1.14
May-03,1.13
Jun-03,1.11
Jul-03,0.90
Aug-03,0.96
Sep-03,0.98
Oct-03,0.95
Nov-03,0.96
Dec-03,0.93
Jan-04,0.95
Feb-04,0.92
Mar-04,0.96
Apr-04,0.95
May-04,0.98
Jun-04,1.08
Jul-04,1.33
Aug-04,1.45
Sep-04,1.59
Oct-04,1.71
Nov-04,1.91
Dec-04,2.23
Jan-05,2.22
Feb-05,2.51
Mar-05,2.76
Apr-05,2.79
May-05,2.90
Jun-05,2.99
Jul-05,3.13
Aug-05,3.42
Sep-05,3.52
Oct-05,3.55
Nov-05,3.98
Dec-05,3.95
Jan-06,4.08
Feb-06,4.47
Mar-06,4.62
Apr-06,4.63
May-06,4.77
Jun-06,4.86
Jul-06,5.01
Aug-06,5.10
Sep-06,5.05
Oct-06,4.89
Nov-06,5.08
Dec-06,5.03
Jan-07,5.02
Feb-07,5.12
Mar-07,5.16
Apr-07,5.04
May-07,4.91
Jun-07,4.73
Jul-07,4.82
Aug-07,4.96
Sep-07,4.01
Oct-07,3.82
Nov-07,3.94
Dec-07,3.15
Jan-08,3.36
Feb-08,1.96
Mar-08,1.85
Apr-08,1.38
May-08,1.43
Jun-08,1.89
Jul-08,1.90
Aug-08,1.68
Sep-08,1.72
Oct-08,0.92
Nov-08,0.46
Dec-08,0.01
Jan-09,0.11
Feb-09,0.24
Mar-09,0.26
Apr-09,0.21
May-09,0.14
Jun-09,0.14
Jul-09,0.19
Aug-09,0.18
Sep-09,0.15
Oct-09,0.14
Nov-09,0.05
Dec-09,0.06
Jan-10,0.06
Feb-10,0.08
Mar-10,0.13
Apr-10,0.16
May-10,0.16
Jun-10,0.16
Jul-10,0.18
Aug-10,0.15
Sep-10,0.14
Oct-10,0.16
Nov-10,0.12
Dec-10,0.17
Jan-11,0.12
Feb-11,0.15
Mar-11,0.15
Apr-11,0.09
May-11,0.04
Jun-11,0.06
Jul-11,0.03
Aug-11,0.10
Sep-11,0.02
Oct-11,0.02
Nov-11,0.01
Dec-11,0.01
Jan-12,0.02
Feb-12,0.06
Mar-12,0.08
Apr-12,0.07
May-12,0.10
Jun-12,0.07
Jul-12,0.09
Aug-12,0.11
Sep-12,0.09
Oct-12,0.10
Nov-12,0.11
Dec-12,0.08
Jan-13,0.05
Feb-13,0.07
Mar-13,0.11
Apr-13,0.07
May-13,0.05
Jun-13,0.04
Jul-13,0.04
Aug-13,0.04
Sep-13,0.03
Oct-13,0.02
Nov-13,0.04
Dec-13,0.06
Jan-14,0.07
Feb-14,0.02
Mar-14,0.05
Apr-14,0.05
May-14,0.03
Jun-14,0.04
Jul-14,0.04
Aug-14,0.03
Sep-14,0.03
Oct-14,0.02
Nov-14,0.01
Dec-14,0.02
Jan-15,0.04
Feb-15,0.02
Mar-15,0.02
Apr-15,0.03
May-15,0.01
Jun-15,0.01
Jul-15,0.01
Aug-15,0.08
Sep-15,0.08
Oct-15,0.00
Nov-15,0.08
Dec-15,0.22
Jan-16,0.16
Feb-16,0.33
Mar-16,0.33
Apr-16,0.21
May-16,0.22
Jun-16,0.34
Jul-16,0.26
Aug-16,0.28
Sep-16,0.33
Oct-16,0.29
Nov-16,0.34
Dec-16,0.48
Jan-17,0.51
Feb-17,0.52
Mar-17,0.53
Apr-17,0.76
May-17,0.80
Jun-17,0.98
Jul-17,1.03
Aug-17,1.07
Sep-17,1.01
Oct-17,1.06
Nov-17,1.15
Dec-17,1.27
Jan-18,1.39
Feb-18,1.46
Mar-18,1.65
Apr-18,1.73
May-18,1.87
Jun-18,1.93
Jul-18,1.93
Aug-18,2.03
Sep-18,2.11
Oct-18,2.19
Nov-18,2.34
Dec-18,2.37
Jan-19,2.45
Feb-19,2.41
Mar-19,2.45
Apr-19,2.40
May-19,2.43
Jun-19,2.35
Jul-19,2.12
Aug-19,2.08
Sep-19,1.99
Oct-19,1.88
Nov-19,1.54
Dec-19,1.59
Jan-20,1.55
Feb-20,1.55
Mar-20,1.27
Apr-20,0.11
May-20,0.09
Jun-20,0.14
Jul-20,0.16
Aug-20,0.09
Sep-20,0.11
Oct-20,0.10
Nov-20,0.09
Dec-20,0.08
